1010900;Edificio Henrique Lara, Praca Antonio Prado, 33;Centro;8966;26
1010901;Bolsa Mercantil de Futuro, Praca Antonio Prado, 48;Centro;8966;26
1010902;Edificio York, Rua Sao Bento, 290;Centro;8966;26
1010903;Edificio Irmandade de Santa Casa, Rua Sao Bento, 370;Centro;8966;26
1010904;Secretaria de Esporte e Turismo do Estado de Sao Paulo, Rua Sao Bento, 398;Centro;8966;26
1010905;Edificio Diogo Lara Neto, Rua Sao Bento, 470;Centro;8966;26
1011000;Rua Sao Bento, ate 319 - lado impar;Centro;8966;26
1011100;Rua Sao Bento, de 321 ao fim - lado impar;Centro;8966;26
1011900;Edificio Kosmos, Rua Sao Bento, 59;Centro;8966;26
1011901;Edificio Germaine Lucie Burchard, Rua Sao Bento, 279;Centro;8966;26
1011902;Edificio Alvares Penteado, Rua Sao Bento, 329;Centro;8966;26
1011903;Edificio Garbur, Rua Sao Bento, 365;Centro;8966;26
1011904;Edificio Galeria Sao Bento, Rua Sao Bento, 545;Centro;8966;26
1012001;Rua alvares Penteado, lado impar;Centro;8966;26
1012010;Rua da Quitanda;Centro;8966;26
1012020;Largo da Misericordia;Centro;8966;26
1012030;Largo do Cafe;Centro;8966;26
1012902;Bradesco - Banco Brasileiro de Descontos, Rua alvares Penteado, 180;Centro;8966;26
1012905;Associacao dos Advogados de Sao Paulo, Rua alvares Penteado, 151;Centro;8966;26
1012907;Edificio Sao Carlos, Rua da Quitanda, 96;Centro;8966;26
1012908;Edificio George Loeb, Rua da Quitanda, 113;Centro;8966;26
1012909;Edificio Ouro Para O Bem de Sao Paulo, Largo da Misericordia, 23;Centro;8966;26
1013000;Rua Quinze de Novembro, lado par;Centro;8966;26
1013001;Rua Quinze de Novembro, lado impar;Centro;8966;26
1013010;Rua do Comercio;Centro;8966;26
1013020;Rua do Tesouro;Centro;8966;26
1013901;Edificio Azevedo Vilares, Rua do Tesouro, 23;Centro;8966;26
1013902;Edificio Santa Maria, Rua do Tesouro, 47;Centro;8966;26
1013904;Condominio das Bandeiras, Rua Quinze de Novembro, 184;Centro;8966;26
1013905;Edificio XV de Novembro, Rua Quinze de Novembro, 200;Centro;8966;26
1013906;BMeF Bovespa S.A., Rua Quinze de Novembro, 275;Centro;8966;26
1013907;Edificio Banco Itau, Rua Quinze de Novembro, 306;Centro;8966;26
1013909;Lloyds Bank, Rua Quinze de Novembro, 165;Centro;8966;26
1013910;ML Gomes Associados SC Ltda., Rua Quinze de Novembro, 164;Centro;8966;26
1013911;Edificio Conde Eduardo de Matarazzo, Rua Quinze de Novembro, 228;Centro;8966;26
1013913;Edificio Joaquim Borges, Rua Quinze de Novembro, 269;Centro;8966;26
1013914;Bradesco - Banco Brasileiro de Descontos, Rua Quinze de Novembro, 233;Centro;8966;26
1013915;Banco Safra S.A.., Rua Quinze de Novembro, 212;Centro;8966;26
1014000;Rua Boa Vista, lado par;Centro;8966;26
1014010;Rua Joao Bricola;Centro;8966;26
1014020;Rua Tres de Dezembro;Centro;8966;26
1014030;Viaduto Boa Vista;Centro;8966;26
1014900;Banco do Estado de Sao Paulo, Rua Joao Bricola, 24;Centro;8966;26
1014901;Edificio Gabriel Goncalves, Rua Boa Vista, 84;Centro;8966;26
1014902;Banco Bandeirantes S.A., Rua Boa Vista, 162;Centro;8966;26
1014903;Edificio Banco Meridional, Rua Boa Vista, 200;Centro;8966;26
1014905;Edificio Bamerindus do Brasil, Rua Boa Vista, 234;Centro;8966;26
1014906;Edificio Rio, Rua Boa Vista, 230;Centro;8966;26
1014907;Edificio Clemente Faria, Rua Boa Vista, 254;Centro;8966;26
1014908;Joquei Club, Rua Boa Vista, 280;Centro;8966;26
1014909;Edificio Paulista, Rua Boa Vista, 314;Centro;8966;26
1014910;Banco do Estado de Minas Gerais, Rua Boa Vista, 356;Centro;8966;26
1014911;Associacao Comercial de Sao Paulo, Rua Boa Vista, 51;Centro;8966;26
1014912;Edificio Boa Vista, Rua Boa Vista, 75;Centro;8966;26
1014913;Edificio Itau, Rua Boa Vista, 185;Centro;8966;26
1014914;Banco do Estado de Sao Paulo, Rua Boa Vista, 209;Centro;8966;26
1014915;Edificio Cabesp, Rua Boa Vista, 293;Centro;8966;26
1014916;Edificio Novo Mundo, Rua Joao Bricola, 37;Centro;8966;26
1014917;Edificio Banco Interestadual, Rua Joao Bricola, 67;Centro;8966;26
1014919;Banco Itau S.A., Rua Boa Vista, 176;Centro;8966;26
