83;1010902;Edificio York, Rua Sao Bento, 290;26;Centro
84;1010903;Edificio Irmandade de Santa Casa, Rua Sao Bento, 370;26;Centro
85;1010904;Secretaria de Esporte e Turismo do Estado de Sao Paulo, Rua Sao Bento, 398;26;Centro
86;1010905;Edificio Diogo Lara Neto, Rua Sao Bento, 470;26;Centro
87;1011000;Rua Sao Bento, ate 319 - lado impar;26;Centro
88;1011100;Rua Sao Bento, de 321 ao fim - lado impar;26;Centro
89;1011900;Edificio Kosmos, Rua Sao Bento, 59;26;Centro
90;1011901;Edificio Germaine Lucie Burchard, Rua Sao Bento, 279;26;Centro
91;1011902;Edificio Alvares Penteado, Rua Sao Bento, 329;26;Centro
92;1011903;Edificio Garbur, Rua Sao Bento, 365;26;Centro
93;1011904;Edificio Galeria Sao Bento, Rua Sao Bento, 545;26;Centro
94;1012001;Rua alvares Penteado, lado impar;26;Centro
95;1012010;Rua da Quitanda;26;Centro
96;1012020;Largo da Misericordia;26;Centro
97;1012030;Largo do Cafe;26;Centro
98;1012902;Bradesco - Banco Brasileiro de Descontos, Rua alvares Penteado, 180;26;Centro
99;1012905;Associacao dos Advogados de Sao Paulo, Rua alvares Penteado, 151;26;Centro
100;1012907;Edificio Sao Carlos, Rua da Quitanda, 96;26;Centro
101;1012908;Edificio George Loeb, Rua da Quitanda, 113;26;Centro
102;1012909;Edificio Ouro Para O Bem de Sao Paulo, Largo da Misericordia, 23;26;Centro
103;1013000;Rua Quinze de Novembro, lado par;26;Centro
104;1013001;Rua Quinze de Novembro, lado impar;26;Centro
105;1013010;Rua do Comercio;26;Centro
106;1013020;Rua do Tesouro;26;Centro
107;1013901;Edificio Azevedo Vilares, Rua do Tesouro, 23;26;Centro
108;1013902;Edificio Santa Maria, Rua do Tesouro, 47;26;Centro
109;1013904;Condominio das Bandeiras, Rua Quinze de Novembro, 184;26;Centro
110;1013905;Edificio XV de Novembro, Rua Quinze de Novembro, 200;26;Centro
111;1013906;BMeF Bovespa S.A., Rua Quinze de Novembro, 275;26;Centro
112;1013907;Edificio Banco Itau, Rua Quinze de Novembro, 306;26;Centro
113;1013909;Lloyds Bank, Rua Quinze de Novembro, 165;26;Centro
114;1013910;ML Gomes Associados SC Ltda., Rua Quinze de Novembro, 164;26;Centro
115;1013911;Edificio Conde Eduardo de Matarazzo, Rua Quinze de Novembro, 228;26;Centro
116;1013913;Edificio Joaquim Borges, Rua Quinze de Novembro, 269;26;Centro
